FID,Tid,Hazard,Con_pop,CBRA,County
52,-2,0.0,31.3768591881,73.0,0
53,-2,0.0,150.78335619,24.0,0
54,-2,0.0,250.166496992,3354.0,0
55,-2,0.0,86.4255456924,774.0000000000002,0
56,-2,0.0,0.0,0.0,0
57,-2,0.0,14.6556301117,565.9999999999999,0
58,-2,0.0,378.79147625,2766.0,0
59,-2,0.0,541.096669674,24749.0,0
60,-2,0.0,394.088421822,0.0,0
61,-2,0.0,85.8637990952,30.0,0
62,-2,0.0,146.009230614,894.0,0
63,-2,0.0,0.0,253.0,0
64,-2,0.0,10.7764177322,0.0,0
65,-2,0.0,127.077544212,0.0,0
66,-2,0.0,202.165515423,0.0,0
67,-2,0.0,461.025874615,6330.0,0
68,-2,0.0,385.016685009,0.0,0
69,-2,0.0,697.374358177,21288.0,0
70,-2,0.0,328.956537247,260.0000000000001,0
71,-2,0.0,336.548472404,1581.0,0
72,-2,0.0,79.4715595245,29.0,0
73,-2,0.0,220.24985218,2643.999999999999,0
74,-2,0.0,78.7836050987,0.0,0
75,-2,0.0,25.291331768,22.0,0
76,-2,0.0,496.67750597,12038.0,0
77,-2,0.0,451.808769226,20895.0,0
78,-2,0.0,332.108181,8309.0,0
79,-2,0.0,20.084195137,81.0,0
80,-2,0.0,162.241654396,0.0,0
81,-2,0.0,788.317207336,21907.0,0
82,-2,0.0,571.829948425,20744.0,0
83,-2,0.0,188.132222176,938.9999999999998,0
84,-2,0.0,677.42483139,29102.0,0
85,-2,0.0,45.9530768394,129.0,0
86,-2,0.0,0.0,3755.0,0
87,-2,0.0,161.867317677,11455.0,0
88,-2,0.0,427.967090607,21137.0,0
89,-2,0.0,94.868724823,4697.000000000001,0
90,-2,0.0,5.71050596237,0.0,0
91,-2,0.0,121.653208256,6759.999999999999,0
92,-2,0.0,22.5562829971,0.0,0
93,-2,0.0,170.088479996,6.000000000000002,0
94,-2,0.0,245.300615311,1673.0,0
95,-2,0.0,345.545054913,1151.0,0
96,-2,0.0,82.4872312546,1378.0,0
97,-2,0.0,121.818276882,0.0,0
98,-2,0.0,338.125454426,2823.0,0
99,-2,0.0,28.0755429268,172.0,0
100,-2,0.0,163.438492775,12856.0,0
101,-2,0.0,50.4127845764,1622.0,0
102,-2,0.0,83.7031650543,159.0,0
103,-2,0.0,273.936748028,15800.0,0
104,-2,0.0,12.5744624138,0.0,0
105,-2,0.0,537.172877789,453.9999999999999,0
106,-2,0.0,814.528372288,27946.0,0
107,-2,0.0,675.146464348,7251.999999999999,0
108,-2,0.0,1159.42231703,14932.0,0
109,-2,0.0,1101.85665894,12483.0,0
110,-2,0.0,1228.26542282,4353.0,0
111,-2,0.0,1038.21039009,399.0000000000001,0
112,-2,0.0,745.104763508,0.0,0
113,-2,0.0,622.519556046,0.0,0
114,-2,0.0,532.515298843,0.0,0
115,-2,0.0,0.0,0.0,0
116,-2,0.0,0.0,0.0,0
117,-2,0.0,0.0,0.0,0
118,-2,0.0,0.0,0.0,0
119,-2,0.0,0.0,0.0,0
120,-2,0.0,149.259368896,7337.0,0
121,-2,0.0,751.052622795,69658.0,0
122,-2,0.0,459.070995808,25226.0,0
123,-2,0.0,66.8875951767,0.0,0
124,-2,0.0,549.478060246,18459.0,0
125,-2,0.0,484.741557598,26704.0,0
126,-2,0.0,350.608307362,2833.0,0
127,-2,0.0,305.095547199,11141.0,0
128,-2,0.0,93.0543065071,2266.0,0
129,-2,0.0,0.0,505.0,0
130,-2,0.0,15.6231427193,0.0,0
131,-2,0.0,0.0,34.0,0
132,-2,0.0,30.182290554,34.0,0
133,-2,0.0,0.0,0.0,0
134,-2,0.0,13.5516376495,236.0,0
135,-2,0.0,163.595746517,558.0,0
136,-2,0.0,148.800642967,856.0,0
137,-2,0.0,0.0,0.0,0
138,-2,0.0,29.5786304474,0.0,0
139,-2,0.0,74.4707951546,0.0,0
140,-2,0.0,0.0,0.0,0
141,-2,0.0,0.0,0.0,0
142,-2,0.0,0.0,1.0,0
143,-2,0.0,589.136703014,2455.0,0
144,-2,0.0,347.912976265,81.0,0
145,-2,0.0,414.976016998,456.0,0
146,-2,0.0,306.276206017,21.0,0
147,-2,0.0,783.710336685,23416.0,0
148,-2,0.0,332.694795132,0.0,0
149,-2,0.0,28.7136912346,0.0,0
150,-2,0.0,367.777698994,0.0,0
151,-2,0.0,110.671041489,0.0,0
152,-2,0.0,297.586187363,4243.0,0
153,-2,0.0,143.209011078,0.0,0
154,-2,0.0,357.676819324,4317.0,0
155,-2,0.0,431.851715565,22365.0,0
156,-2,0.0,0.0,0.0,0
157,-2,0.0,47.8431305885,0.0,0
158,-2,0.0,554.945629597,12.0,0
159,-2,0.0,446.135841846,4767.0,0
160,-2,0.0,879.85371685,10257.0,0
161,-2,0.0,517.235581398,14835.0,0
162,-2,0.0,281.346477509,202.0,0
163,-2,0.0,239.234550476,919.9999999999999,0
164,-2,0.0,1426.66698551,16609.0,0
165,-2,0.0,2600.05860901,49939.0,0
166,-2,0.0,2204.03001976,36831.00000000001,0
167,-2,0.0,1216.30976009,19268.0,0
168,-2,0.0,363.203351021,6707.0,0
169,-2,0.0,1084.4834795,34327.0,0
170,-2,0.0,1149.15077686,24008.0,0
171,-2,0.0,666.649336815,8092.000000000002,0
172,-2,0.0,79.3942861557,72.0,0
173,-2,0.0,64.048125267,2955.0,0
174,-2,0.0,0.0,89.0,0
175,-2,0.0,558.581209183,28708.0,0
176,-2,0.0,610.007616043,41111.0,0
177,-2,0.0,49.345512867,95.0,0
178,-2,0.0,192.198307037,441.9999999999999,0
179,-2,0.0,85.4522914886,2282.0,0
180,-2,0.0,449.226870537,14898.0,0
181,-2,0.0,0.0,5926.0,0
182,-2,0.0,0.0,433.0,0
183,-2,0.0,321.729412079,2531.0,0
184,-2,0.0,80.3935203552,1000.0,0
185,-2,0.0,350.06975174,1950.0,0
186,-2,0.0,151.330937386,2980.0,0
187,-2,0.0,8.51716327667,2565.0,0
188,-2,0.0,209.197526932,10373.0,0
189,-2,0.0,325.040987015,11508.0,0
190,-2,0.0,0.0,0.0,0
191,-2,0.0,0.0,3386.0,0
192,192,0.0,0.0,0.0,11
193,193,0.0,0.0,0.0,11
194,194,0.0,0.0,0.0,11
195,195,0.0,0.0,0.0,11
196,196,0.0,0.0,113.0,11
197,-2,0.0,0.0,114.0,0
198,-2,0.0,0.0,0.0,0
199,-2,0.0,382.902380943,22.0,0
200,-2,0.0,179.828809738,0.0,0
201,-2,0.0,0.0,215.9999999999999,0
202,-2,0.0,54.084736824,0.0,0
203,-2,0.0,77.9545955658,0.0,0
204,-2,0.0,9.36559867859,0.0,0
205,-2,0.0,0.0,3.0,0
