Tid,Supply-demand relationship
2412,balance
2413,balance
2414,balance
2415,surplus
2416,deficit
2417,deficit
2418,surplus
2419,surplus
2420,balance
2421,surplus
2422,surplus
2423,deficit
2424,deficit
2425,deficit
2426,deficit
2427,deficit
2428,deficit
2429,deficit
2430,deficit
2431,deficit
2432,deficit
2433,deficit
2434,deficit
2435,deficit
2436,balance
2437,deficit
2438,deficit
2439,deficit
2440,deficit
2441,deficit
2442,balance
2443,balance
2444,balance
2445,deficit
2446,deficit
2447,deficit
2448,deficit
2449,deficit
2450,deficit
2451,deficit
2452,deficit
2453,deficit
2454,deficit
2455,deficit
2456,deficit
2457,deficit
2458,surplus
2459,surplus
2460,deficit
2461,deficit
2462,deficit
2463,deficit
2464,deficit
2465,deficit
2482,balance
2483,balance
2484,balance
2485,balance
2486,balance
2487,balance
2488,surplus
2489,balance
2490,balance
2491,balance
2515,deficit
2516,surplus
2517,balance
2518,balance
2519,deficit
2520,deficit
2521,balance
2522,balance
2523,balance
2524,surplus
2525,surplus
2526,balance
2527,balance
2528,balance
2529,balance
2530,surplus
2531,surplus
2532,surplus
2533,surplus
2534,deficit
2535,deficit
2536,deficit
2537,deficit
2538,deficit
2539,deficit
2540,deficit
2541,deficit
2542,deficit
2543,deficit
2544,deficit
2545,deficit
2546,deficit
2547,deficit
2548,deficit
2549,deficit
2550,balance
2551,balance
2552,deficit
2553,deficit
2554,deficit
2555,deficit
2556,deficit
2557,deficit
2558,deficit
2559,deficit
2560,deficit
2561,deficit
2562,deficit
2563,deficit
2564,deficit
2565,deficit
2566,surplus
2567,surplus
2568,surplus
2569,surplus
2570,surplus
2571,surplus
2572,deficit
2573,deficit
2574,deficit
2591,balance
2592,balance
2593,balance
2594,balance
2595,balance
2596,surplus
2597,balance
2598,balance
2599,balance
2600,balance
2601,balance
2624,deficit
2625,surplus
2626,balance
2627,deficit
2628,balance
2629,deficit
2630,deficit
2631,balance
2632,deficit
2633,deficit
2634,deficit
2635,balance
2636,balance
2637,balance
2638,balance
2639,balance
2640,surplus
2641,surplus
2642,deficit
2643,deficit
2644,surplus
2645,deficit
2646,deficit
2647,deficit
2648,deficit
2649,deficit
2650,deficit
2651,balance
2652,balance
2653,deficit
2654,deficit
2655,deficit
2656,deficit
2657,deficit
2658,deficit
2659,deficit
2660,balance
2661,balance
2662,deficit
2663,deficit
2664,deficit
2665,deficit
2666,deficit
2667,deficit
2668,deficit
2669,deficit
2670,deficit
2671,deficit
2672,deficit
2673,deficit
2674,deficit
2675,deficit
2676,surplus
2677,surplus
2678,deficit
2679,deficit
2680,deficit
2681,deficit
2682,deficit
2683,surplus
2684,balance
2685,balance
2699,balance
2700,balance
2701,balance
2702,balance
2703,balance
2704,surplus
2705,surplus
2706,surplus
2707,balance
2708,balance
2709,surplus
2710,balance
2711,balance
2712,balance
2713,balance
2714,balance
2715,balance
2733,deficit
2734,deficit
2735,deficit
2736,deficit
2737,deficit
2738,deficit
2739,deficit
2740,balance
2741,deficit
2742,deficit
2743,deficit
2744,deficit
2745,balance
2746,balance
2747,balance
2748,balance
2749,balance
2750,deficit
2751,deficit
2752,deficit
2753,deficit
2754,deficit
2755,deficit
2756,deficit
2757,deficit
2758,balance
2759,balance
2760,deficit
2761,balance
2762,balance
2763,deficit
2764,deficit
2765,deficit
2766,deficit
2767,balance
2768,deficit
2769,balance
2770,deficit
2771,balance
2772,balance
2773,deficit
2774,balance
2775,deficit
2776,balance
2777,deficit
2778,deficit
2779,deficit
2780,deficit
2781,deficit
2782,deficit
2783,deficit
2784,deficit
2785,deficit
2786,deficit
2787,deficit
2788,deficit
2789,deficit
2790,deficit
2791,deficit
2792,surplus
2793,surplus
2794,balance
2795,surplus
2796,balance
2797,balance
2798,balance
2799,balance
2800,balance
2801,balance
2806,balance
2807,surplus
2808,surplus
2809,balance
2810,balance
2811,balance
2812,balance
2813,balance
2814,surplus
2815,balance
2816,balance
2817,balance
2818,balance
2819,balance
2820,balance
2821,balance
2822,balance
2823,balance
2824,balance
2825,balance
2839,balance
2840,balance
2841,deficit
2842,deficit
2843,deficit
2844,deficit
2845,surplus
2846,balance
2847,deficit
2848,deficit
2849,deficit
2850,deficit
2851,deficit
2852,deficit
2853,deficit
2854,balance
2855,balance
2856,balance
2857,balance
2858,deficit
2859,deficit
2860,deficit
2861,deficit
2862,deficit
2863,deficit
2864,deficit
2865,deficit
2866,surplus
2867,surplus
2868,surplus
2869,deficit
2870,deficit
2871,deficit
2872,deficit
2873,deficit
2874,deficit
2875,deficit
2876,balance
2877,deficit
2878,balance
2879,deficit
2880,deficit
2881,surplus
2882,surplus
2883,surplus
2884,surplus
2885,deficit
2886,deficit
2887,deficit
2888,deficit
2889,deficit
2890,deficit
2891,deficit
2892,deficit
2893,deficit
2894,deficit
2895,deficit
2896,deficit
2897,deficit
2898,deficit
2899,deficit
2900,deficit
2901,deficit
2902,deficit
2903,balance
2904,balance
2905,balance
2906,balance
2907,balance
2908,surplus
2909,surplus
2910,balance
2911,balance
2912,balance
2913,balance
2914,surplus
2915,balance
2916,balance
2917,balance
2918,balance
2919,balance
2920,balance
2921,balance
2922,balance
2923,balance
2924,balance
2925,balance
2926,balance
2927,balance
2928,balance
2929,balance
2930,balance
2931,balance
2932,balance
2933,balance
2934,balance
2935,balance
2936,balance
2948,balance
2949,balance
2950,balance
2951,deficit
2952,deficit
2953,deficit
2954,deficit
2955,balance
2956,deficit
2957,deficit
2958,deficit
2959,deficit
2960,deficit
2961,deficit
2962,deficit
2963,deficit
2964,deficit
2965,deficit
2966,deficit
2967,deficit
2968,deficit
2969,deficit
2970,deficit
2971,deficit
2972,deficit
2973,deficit
2974,deficit
2975,deficit
2976,surplus
2977,surplus
2978,surplus
2979,surplus
2980,surplus
2981,balance
2982,deficit
2983,deficit
2984,deficit
2985,deficit
2986,surplus
2987,deficit
2988,deficit
2989,surplus
2990,deficit
2991,deficit
2992,surplus
2993,deficit
2994,deficit
2995,deficit
2996,deficit
2997,deficit
2998,deficit
2999,balance
3000,surplus
3001,deficit
3002,deficit
3003,deficit
3004,deficit
3005,deficit
3006,deficit
3007,deficit
3008,deficit
3009,deficit
3010,deficit
3011,deficit
3012,balance
3013,balance
3014,balance
3015,balance
3016,balance
3017,balance
3018,balance
3019,balance
3020,balance
3021,balance
3022,balance
3023,balance
3024,surplus
3025,balance
3026,surplus
3027,balance
3028,balance
3029,balance
3030,balance
3031,balance
3032,balance
3033,balance
3034,balance
3035,balance
3036,balance
3037,balance
3038,balance
3039,balance
3040,balance
3041,balance
3042,balance
3043,balance
3044,balance
3045,balance
3056,balance
3057,balance
3058,balance
3059,deficit
3060,deficit
3061,surplus
3062,deficit
3063,deficit
3064,balance
3065,deficit
3066,deficit
3067,deficit
3068,deficit
3069,deficit
3070,deficit
3071,deficit
3072,deficit
3073,deficit
3074,surplus
3075,deficit
3076,deficit
3077,deficit
3078,balance
3079,deficit
3080,deficit
3081,deficit
3082,deficit
3083,deficit
3084,surplus
3085,surplus
3086,surplus
3087,surplus
3088,surplus
3089,deficit
3090,deficit
3091,deficit
3092,deficit
3093,deficit
3094,deficit
3095,surplus
3096,surplus
3097,surplus
3098,deficit
3099,surplus
3100,surplus
3101,surplus
3102,deficit
3103,deficit
3104,deficit
3105,deficit
3106,deficit
3107,deficit
3108,balance
3109,surplus
3110,balance
3111,deficit
3112,deficit
3113,deficit
3114,deficit
3115,deficit
3116,deficit
3117,deficit
3118,deficit
3119,deficit
3120,deficit
3121,balance
3122,balance
3123,balance
3124,balance
3125,balance
3126,balance
3127,balance
3128,balance
3129,balance
3130,balance
3131,balance
3132,balance
3133,balance
3134,surplus
3135,balance
3136,surplus
3137,balance
3138,balance
3139,balance
3140,balance
3141,balance
3142,balance
3143,balance
3144,balance
3145,balance
3146,balance
3147,balance
3148,balance
3149,balance
3150,balance
3151,balance
3152,balance
3153,balance
3154,balance
3164,balance
3165,balance
3166,balance
3167,deficit
3168,deficit
3169,surplus
3170,balance
3171,balance
3172,deficit
3173,deficit
3174,deficit
3175,deficit
3176,deficit
3177,deficit
3178,deficit
3179,deficit
3180,deficit
3181,deficit
3182,deficit
3183,deficit
3184,deficit
3185,deficit
3186,deficit
3187,deficit
3188,deficit
3189,deficit
3190,deficit
3191,balance
3192,surplus
3193,deficit
3194,surplus
3195,surplus
3196,surplus
3197,surplus
3198,deficit
3199,surplus
3200,deficit
3201,surplus
3202,deficit
3203,surplus
3204,deficit
3205,deficit
3206,deficit
3207,balance
3208,balance
3209,deficit
3210,deficit
3211,deficit
3212,balance
3213,surplus
3214,surplus
3215,deficit
3216,deficit
3217,surplus
3218,surplus
3219,balance
3220,balance
3221,deficit
3222,deficit
3223,deficit
3224,deficit
3225,deficit
3226,deficit
3227,deficit
3228,deficit
3229,deficit
3230,balance
3231,balance
3232,balance
3233,balance
3234,balance
3235,balance
3236,balance
3237,balance
3238,balance
3239,balance
3240,balance
3241,balance
3242,surplus
3243,surplus
3244,surplus
3245,surplus
3246,balance
3247,balance
3248,balance
3249,balance
3250,balance
3251,balance
3252,balance
3253,balance
3254,surplus
3255,balance
3256,balance
3257,balance
3258,balance
3259,balance
3260,balance
3261,balance
3262,balance
3263,balance
3264,balance
3273,balance
3274,deficit
3275,deficit
3276,deficit
3277,deficit
3278,deficit
3279,balance
3280,deficit
3281,deficit
3282,balance
3283,deficit
3284,deficit
3285,deficit
3286,deficit
3287,deficit
3288,deficit
3289,deficit
3290,deficit
3291,deficit
3292,deficit
3293,deficit
3294,deficit
3295,deficit
3296,deficit
3297,deficit
3298,deficit
3299,deficit
3300,balance
3301,balance
3302,balance
3303,deficit
3304,surplus
3305,surplus
3306,surplus
3307,balance
3308,balance
3309,deficit
3310,deficit
3311,deficit
3312,deficit
3313,deficit
3314,deficit
3315,balance
3316,surplus
3317,balance
3318,balance
3319,balance
3320,balance
3321,balance
3322,surplus
3323,surplus
3324,balance
3325,surplus
3326,surplus
3327,balance
3328,surplus
3329,balance
3330,balance
3331,deficit
3332,deficit
3333,deficit
3334,deficit
3335,deficit
3336,deficit
3337,deficit
3338,deficit
3339,balance
3340,balance
3341,balance
3342,balance
3343,balance
3344,balance
3345,balance
3346,balance
3347,balance
3348,balance
3349,balance
3350,surplus
3351,surplus
3352,balance
3353,balance
3354,balance
3355,balance
3356,balance
3357,balance
3358,balance
3359,balance
3360,balance
3361,balance
3362,balance
3363,balance
3364,balance
3365,balance
3366,balance
3367,balance
3368,balance
3369,balance
3370,balance
3371,balance
3372,balance
3373,balance
3381,deficit
3382,deficit
3383,deficit
3384,deficit
3385,deficit
3386,surplus
3387,deficit
3388,deficit
3389,balance
3390,balance
3391,deficit
3392,deficit
3393,deficit
3394,deficit
3395,deficit
3396,deficit
3397,deficit
3398,deficit
3399,surplus
3400,deficit
3401,deficit
3402,deficit
3403,deficit
3404,deficit
3405,deficit
3406,deficit
3407,deficit
3408,deficit
3409,balance
3410,balance
3411,balance
3412,deficit
3413,deficit
3414,surplus
3415,deficit
3416,surplus
3417,surplus
3418,surplus
3419,deficit
3420,deficit
3421,deficit
3422,deficit
